time_s,temperature_C,pwm,heat_cool
0.11,26.29,0,0
0.24,26.3,0,0
0.36,26.3,0,0
0.48,26.3,0,0
0.61,26.3,0,0
0.73,26.3,0,0
0.85,26.3,0,0
0.98,26.3,0,0
1.1,26.3,0,0
1.22,26.3,0,0
1.35,26.29,0,0
1.47,26.29,0,0
1.6,26.3,0,0
1.72,26.29,0,0
1.84,26.3,0,0
1.97,26.29,0,0
2.09,26.29,0,0
2.21,26.29,0,0
2.34,26.29,0,0
2.46,26.29,0,0
2.58,26.29,0,0
2.71,26.29,0,0
2.83,26.29,0,0
2.96,26.29,0,0
3.08,26.29,0,0
3.2,26.29,0,0
3.33,26.29,0,0
3.45,26.29,0,0
3.57,26.29,0,0
3.7,26.29,0,0
3.82,26.29,0,0
3.94,26.29,0,0
4.07,26.29,0,0
4.19,26.29,0,0
4.32,26.29,0,0
4.44,26.29,0,0
4.56,26.29,0,0
4.69,26.29,0,0
4.81,26.3,0,0
4.93,26.29,0,0
5.06,26.29,0,0
5.18,26.29,0,0
5.3,26.29,0,0
5.43,26.29,0,0
5.55,26.29,0,0
5.68,26.29,0,0
5.8,26.29,0,0
5.92,26.29,0,0
6.05,26.29,0,0
6.17,26.29,0,0
6.29,26.29,0,0
6.42,26.29,0,0
6.54,26.29,0,0
6.66,26.29,0,0
6.79,26.29,0,0
6.91,26.29,0,0
7.03,26.29,0,0
7.16,26.29,0,0
7.28,26.29,0,0
7.41,26.29,0,0
7.53,26.29,0,0
7.65,26.29,0,0
7.78,26.29,0,0
7.9,26.29,0,0
8.02,26.29,0,0
8.15,26.29,0,0
8.27,26.29,0,0
8.39,26.29,0,0
8.52,26.29,0,0
8.64,26.29,0,0
8.77,26.29,0,0
8.89,26.29,0,0
9.01,26.29,0,0
9.14,26.29,0,0
9.26,26.29,0,0
9.38,26.29,0,0
9.51,26.29,0,0
9.63,26.29,0,0
9.75,26.29,0,0
9.88,26.29,0,0
10.0,26.29,0,0
10.13,26.29,0,0
10.25,26.29,0,0
10.37,26.29,0,0
10.5,26.29,0,0
10.62,26.29,0,0
10.74,26.29,0,0
10.87,26.29,0,0
10.99,26.29,0,0
11.11,26.29,0,0
11.24,26.29,0,0
11.36,26.29,0,0
11.49,26.29,50,0
11.61,26.29,50,0
11.73,26.29,50,0
11.86,26.29,50,0
11.98,26.29,50,0
12.1,26.29,50,0
12.23,26.29,50,0
12.35,26.29,50,0
12.48,26.29,50,0
12.6,26.29,50,0
12.72,26.29,50,0
12.85,26.29,50,0
12.97,26.29,50,0
13.09,26.29,50,0
13.22,26.29,50,0
13.34,26.29,50,0
13.47,26.29,50,0
13.59,26.29,50,0
13.71,26.29,50,0
13.84,26.29,50,0
13.96,26.29,50,0
14.08,26.29,50,0
14.21,26.29,50,0
14.33,26.29,50,0
14.45,26.29,50,0
14.58,26.29,50,0
14.7,26.29,50,0
14.82,26.29,50,0
14.95,26.29,50,0
15.07,26.29,50,0
15.2,26.29,50,0
15.32,26.29,50,0
15.44,26.29,50,0
15.57,26.29,50,0
15.69,26.29,50,0
15.81,26.29,50,0
15.94,26.29,50,0
16.06,26.29,50,0
16.19,26.29,50,0
16.31,26.29,50,0
16.43,26.29,50,0
16.56,26.29,50,0
16.68,26.29,50,0
16.8,26.29,50,0
16.93,26.29,50,0
17.05,26.29,50,0
17.17,26.29,50,0
17.3,26.29,50,0
17.42,26.29,50,0
17.55,26.29,50,0
17.67,26.29,50,0
17.79,26.29,50,0
17.92,26.29,50,0
18.04,26.29,50,0
18.17,26.29,50,0
18.29,26.29,50,0
18.41,26.29,50,0
18.54,26.29,50,0
18.66,26.29,50,0
18.78,26.29,50,0
18.91,26.29,50,0
19.03,26.29,50,0
19.15,26.29,50,0
19.28,26.29,50,0
19.4,26.29,50,0
19.52,26.29,50,0
19.65,26.29,50,0
19.77,26.29,50,0
19.9,26.29,50,0
20.02,26.29,50,0
20.14,26.29,50,0
20.27,26.29,50,0
20.39,26.29,50,0
20.51,26.29,50,0
20.64,26.29,50,0
20.76,26.29,50,0
20.89,26.29,50,0
21.01,26.29,50,0
21.13,26.29,50,0
21.26,26.29,50,0
21.38,26.29,50,0
21.5,26.29,50,0
21.63,26.29,50,0
21.75,26.29,50,0
21.87,26.29,50,0
22.0,26.29,50,0
22.12,26.29,50,0
22.25,26.29,50,0
22.37,26.29,50,0
22.49,26.29,50,0
22.62,26.29,50,0
22.74,26.29,50,0
22.86,26.29,50,0
22.99,26.29,50,0
23.11,26.29,50,0
23.24,26.29,50,0
23.36,26.29,50,0
23.48,26.29,50,0
23.61,26.29,50,0
23.73,26.29,50,0
23.85,26.29,50,0
23.98,26.29,50,0
24.1,26.29,50,0
24.22,26.29,50,0
24.35,26.29,50,0
24.47,26.29,50,0
24.6,26.29,50,0
24.72,26.29,50,0
24.84,26.3,50,0
24.97,26.3,50,0
25.09,26.29,50,0
25.22,26.29,50,0
25.34,26.29,50,0
25.46,26.29,50,0
25.59,26.29,50,0
25.71,26.29,50,0
25.83,26.29,50,0
25.96,26.29,50,0
26.08,26.3,50,0
26.2,26.29,50,0
26.33,26.29,50,0
26.45,26.29,50,0
26.57,26.29,50,0
26.7,26.29,50,0
26.82,26.29,50,0
26.95,26.29,50,0
27.07,26.3,50,0
27.19,26.3,50,0
27.32,26.29,50,0
27.44,26.29,50,0
27.57,26.29,50,0
27.69,26.29,50,0
27.81,26.29,50,0
27.94,26.29,50,0
28.06,26.29,50,0
28.18,26.3,50,0
