time_s,temperature_C,pwm,heat_cool
0.11,26.1,0,0
0.24,26.1,0,0
0.37,26.1,0,0
0.5,26.1,0,0
0.63,26.1,0,0
0.76,26.1,0,0
0.9,26.1,0,0
1.03,26.1,0,0
1.16,26.1,0,0
1.29,26.1,0,0
1.42,26.1,0,0
1.55,26.1,0,0
1.68,26.1,0,0
1.81,26.1,0,0
1.94,26.1,0,0
2.07,26.1,0,0
2.2,26.1,0,0
2.34,26.1,0,0
2.47,26.1,0,0
2.6,26.1,0,0
2.73,26.1,0,0
2.86,26.1,0,0
2.99,26.1,0,0
3.12,26.1,0,0
3.25,26.1,0,0
3.38,26.1,0,0
3.51,26.1,0,0
3.64,26.1,0,0
3.77,26.1,0,0
3.9,26.1,0,0
4.03,26.1,0,0
4.17,26.1,0,0
4.3,26.1,0,0
4.43,26.1,0,0
4.56,26.1,0,0
4.69,26.1,0,0
4.82,26.1,0,0
4.95,26.1,0,0
5.08,26.1,0,0
5.21,26.1,0,0
5.34,26.1,0,0
5.47,26.1,0,0
5.6,26.1,0,0
5.73,26.1,0,0
5.86,26.1,0,0
6.0,26.1,0,0
6.13,26.1,0,0
6.26,26.1,0,0
6.39,26.1,0,0
6.52,26.1,0,0
6.65,26.1,0,0
6.78,26.1,0,0
6.91,26.1,1,0
7.04,26.1,2,0
7.18,26.1,3,0
7.31,26.1,4,0
7.44,26.1,5,0
7.57,26.1,6,0
7.7,26.1,7,0
7.83,26.1,8,0
7.96,26.1,9,0
8.12,26.1,9,0
8.25,26.1,18,0
8.38,26.1,19,0
8.52,26.1,20,0
8.65,26.1,21,0
8.78,26.1,22,0
8.91,26.1,22,0
9.05,26.1,25,0
9.18,26.1,27,0
9.31,26.1,28,0
9.44,26.1,29,0
9.58,26.1,30,0
9.71,26.1,31,0
9.84,26.1,31,0
9.97,26.1,32,0
10.1,26.1,32,0
10.24,26.1,32,0
10.37,26.1,32,0
10.5,26.11,32,0
10.64,26.1,32,0
10.77,26.1,32,0
10.9,26.1,32,0
11.03,26.1,32,0
