time_s,temperature_C,pwm,heat_cool
0.11,14.72,0,0
0.24,14.74,0,0
0.37,14.76,0,0
0.5,14.78,0,0
0.63,14.79,0,0
0.76,14.83,0,0
0.9,14.85,0,0
1.03,14.87,0,0
1.16,14.89,0,0
1.29,14.91,0,0
1.42,14.94,0,0
1.55,14.96,0,0
1.68,14.99,0,0
1.81,15.02,0,0
1.94,15.03,0,0
2.07,15.06,0,0
2.2,15.09,0,0
2.33,15.12,0,0
2.47,15.15,0,0
2.6,15.16,0,0
2.73,15.2,0,0
2.86,15.22,0,0
2.99,15.24,0,0
3.12,15.27,0,0
3.25,15.3,0,0
3.38,15.31,0,0
3.51,15.34,0,0
3.64,15.37,0,0
3.77,15.39,0,0
3.9,15.42,0,0
4.03,15.42,0,0
4.17,15.48,0,0
4.3,15.48,0,0
4.43,15.52,0,0
4.56,15.54,0,0
4.69,15.56,0,0
4.82,15.59,0,0
4.95,15.64,0,0
5.08,15.63,0,0
5.21,15.66,100,0
5.34,15.67,100,0
5.48,15.71,100,0
5.61,15.72,100,0
5.74,15.73,100,0
5.88,15.73,100,0
6.01,15.74,100,0
6.14,15.74,100,0
6.27,15.75,100,0
6.41,15.74,100,0
6.54,15.73,100,0
6.67,15.68,100,0
6.8,15.68,100,0
6.94,15.68,100,0
7.07,15.64,100,0
7.2,15.63,100,0
7.34,15.62,100,0
7.47,15.58,100,0
7.6,15.55,100,0
7.74,15.52,100,0
7.87,15.49,100,0
8.0,15.49,100,0
8.13,15.44,100,0
8.27,15.41,100,0
8.4,15.4,100,0
8.53,15.35,100,0
8.67,15.32,100,0
8.8,15.31,100,0
8.93,15.27,100,0
9.06,15.24,100,0
9.2,15.23,100,0
9.33,15.19,100,0
9.46,15.17,100,0
9.59,15.15,100,0
9.73,15.11,100,0
9.86,15.08,100,0
9.99,15.06,100,0
10.13,15.01,100,0
10.26,15.01,100,0
10.39,14.97,100,0
10.53,14.94,100,0
10.66,14.91,100,0
10.8,14.89,100,0
10.93,14.85,100,0
11.06,14.85,100,0
11.2,14.84,100,0
11.33,14.8,100,0
11.46,14.77,100,0
11.6,14.76,100,0
11.73,14.73,100,0
11.87,14.72,100,0
12.0,14.69,100,0
12.13,14.68,100,0
12.27,14.67,100,0
12.4,14.65,100,0
12.53,14.61,100,0
12.67,14.59,100,0
12.8,14.57,100,0
12.94,14.55,100,0
13.07,14.54,100,0
13.2,14.52,100,0
13.34,14.51,100,0
13.47,14.48,100,0
13.6,14.47,100,0
13.74,14.45,100,0
13.87,14.43,100,0
14.01,14.43,100,0
14.14,14.42,100,0
14.27,14.41,100,0
14.41,14.37,100,0
14.54,14.37,100,0
14.68,14.35,100,0
14.81,14.32,100,0
14.94,14.32,100,0
15.08,14.32,100,0
15.21,14.3,100,0
15.35,14.3,100,0
15.48,14.28,100,0
15.61,14.26,100,0
15.75,14.24,100,0
15.88,14.22,100,0
16.01,14.2,100,0
16.15,14.24,100,0
16.28,14.21,100,0
16.42,14.21,100,0
16.55,14.18,100,0
16.68,14.18,100,0
16.82,14.16,100,0
16.95,14.15,100,0
17.09,14.15,100,0
17.22,14.1,100,0
17.35,14.12,100,0
17.49,14.14,100,0
17.62,14.11,100,0
17.76,14.1,100,0
17.89,14.09,100,0
18.02,14.09,100,0
18.16,14.05,100,0
18.29,14.07,100,0
18.42,14.06,100,0
18.56,14.03,100,0
18.69,14.03,100,0
18.83,14.03,100,0
18.96,14.02,100,0
19.09,14.03,100,0
19.23,14.0,100,0
19.36,14.0,100,0
19.5,13.99,100,0
19.63,13.98,100,0
19.76,13.98,100,0
19.9,13.97,100,0
20.03,13.95,100,0
20.16,13.97,100,0
20.3,13.94,100,0
20.43,13.94,100,0
20.57,13.93,100,0
20.7,13.93,100,0
20.83,13.93,100,0
20.97,13.92,100,0
21.1,13.92,100,0
21.23,13.9,100,0
21.37,13.9,100,0
21.5,13.89,100,0
21.64,13.9,100,0
21.77,13.86,100,0
21.9,13.87,100,0
22.04,13.87,100,0
22.17,13.87,100,0
22.31,13.84,100,0
22.44,13.83,100,0
22.57,13.84,100,0
22.71,13.83,100,0
22.84,13.82,100,0
22.97,13.81,100,0
23.11,13.82,100,0
23.24,13.81,100,0
23.38,13.8,100,0
23.51,13.81,100,0
23.64,13.8,100,0
23.78,13.78,100,0
23.91,13.8,100,0
24.05,13.76,100,0
24.18,13.8,100,0
24.31,13.8,100,0
24.45,13.79,100,0
24.58,13.77,100,0
24.72,13.74,100,0
