time_s,temperature_C,pwm,heat_cool
0.22,27.32,1,0
0.46,27.32,1,0
0.7,27.32,1,0
0.93,27.32,1,0
1.17,27.32,1,0
1.4,27.32,1,0
1.64,27.32,1,0
1.87,27.32,1,0
2.11,27.32,1,0
2.35,27.32,1,0
2.58,27.32,1,0
2.82,27.32,1,0
3.05,27.32,1,0
3.29,27.32,1,0
3.52,27.32,1,0
3.76,27.32,1,0
4.0,27.32,1,0
4.23,27.32,1,0
4.47,27.32,1,0
4.7,27.32,1,0
4.94,27.32,1,0
5.17,27.32,1,0
5.41,27.32,1,0
5.65,27.32,1,0
5.88,27.32,1,0
6.12,27.32,1,0
6.35,27.32,1,0
6.59,27.32,1,0
6.82,27.32,1,0
7.06,27.32,1,0
7.29,27.32,1,0
7.53,27.32,1,0
7.77,27.32,1,0
8.0,27.32,1,0
8.24,27.32,1,0
8.47,27.32,1,0
8.71,27.32,1,0
8.94,27.32,1,0
9.18,27.32,1,0
9.42,27.32,1,0
9.65,27.32,1,0
9.89,27.32,1,0
10.12,27.32,1,0
10.36,27.32,1,0
10.59,27.32,1,0
10.83,27.32,1,0
11.06,27.32,1,0
11.3,27.32,1,0
11.54,27.32,1,0
11.77,27.32,1,0
12.01,27.32,1,0
12.24,27.32,1,0
12.48,27.32,1,0
12.72,27.32,1,0
12.95,27.32,1,0
13.19,27.32,1,0
13.42,27.32,1,0
13.66,27.32,1,0
13.89,27.32,1,0
14.13,27.32,1,0
14.36,27.32,1,0
14.6,27.32,1,0
14.84,27.32,1,0
15.07,27.32,1,0
15.31,27.32,1,0
15.54,27.32,1,0
15.78,27.32,1,0
16.02,27.32,1,0
16.25,27.32,1,0
16.49,27.31,1,0
16.72,27.32,1,0
16.96,27.32,1,0
17.19,27.32,1,0
17.43,27.32,1,0
17.67,27.32,1,0
17.9,27.31,1,0
18.14,27.31,1,0
18.37,27.32,1,0
18.61,27.32,1,0
18.84,27.31,29,0
19.08,27.31,52,0
19.32,27.31,59,0
19.55,27.3,64,0
19.79,27.29,62,0
20.02,27.28,63,0
20.26,27.26,63,0
20.5,27.22,63,0
20.73,27.19,63,0
20.97,27.16,63,0
21.2,27.11,63,0
21.44,27.07,63,0
21.67,27.04,63,0
21.91,27.0,63,0
22.14,26.95,63,0
22.38,26.91,63,0
22.62,26.86,63,0
22.85,26.82,63,0
23.09,26.78,63,0
23.32,26.74,63,0
23.56,26.69,65,0
23.79,26.64,97,0
24.03,26.6,102,0
24.27,26.57,102,0
24.5,26.52,164,0
24.74,26.47,238,0
24.97,26.42,254,0
25.21,26.34,254,0
25.45,26.25,254,0
25.68,26.14,254,0
25.92,26.02,254,0
26.15,25.89,254,0
26.39,25.74,254,0
26.62,25.58,223,0
26.86,25.42,220,0
27.1,25.25,220,0
27.33,25.09,218,0
27.57,24.93,194,0
27.8,24.75,180,0
28.04,24.6,163,0
28.28,24.44,164,0
28.51,24.3,164,0
28.75,24.16,158,0
28.98,24.03,153,0
29.22,23.9,212,0
29.45,23.79,250,0
29.69,23.68,254,0
29.93,23.56,254,0
30.16,23.44,254,0
30.4,23.31,254,0
30.63,23.17,254,0
30.87,23.03,254,0
31.11,22.88,254,0
31.34,22.73,254,0
31.58,22.59,254,0
31.81,22.43,254,0
32.05,22.28,254,0
32.28,22.05,254,0
32.52,21.6,254,0
32.76,21.39,254,0
32.99,21.24,254,0
33.23,21.15,254,0
33.46,21.07,254,0
33.7,20.92,254,1
33.94,20.52,254,1
34.17,20.4,254,1
34.41,20.35,254,1
34.64,20.39,254,1
34.88,20.54,254,1
35.12,20.74,254,1
35.35,21.01,254,1
35.59,21.31,254,1
35.82,21.65,254,1
36.06,22.04,254,1
36.29,22.43,254,1
36.53,22.86,254,1
36.77,23.31,254,1
37.0,23.76,254,1
37.24,24.22,254,1
37.47,24.7,254,1
37.71,25.2,254,1
37.94,25.7,254,1
38.18,26.21,254,1
38.42,26.71,254,1
38.65,27.22,254,1
38.89,27.74,254,1
39.12,28.25,254,1
39.36,28.76,254,1
39.6,29.27,254,1
39.83,29.79,254,1
40.07,30.3,254,1
40.3,30.82,254,1
40.54,31.33,254,1
40.77,31.83,254,1
41.01,32.34,254,1
41.25,32.83,254,1
41.48,33.33,254,1
